x,y
0,0.11
8,-0.58
16,0.88
24,0.88
32,1.97
40,7.82
48,14.04
56,19.52
64,24.63
72,33.41
80,45.47
88,47.66
96,56.43
104,63.01
112,73.61
120,73.61
128,71.05
136,58.63
144,50.58
152,46.56
160,38.16
168,18.42
176,3.8
