x,y
0,4.17
8.05,-6.98
16.11,-26.54
24.11,-25.26
32.14,-17.95
40.17,-3.87
47.89,7.27
55.92,25.18
63.88,55.15
71.9,83.85
79.91,110.16
87.89,128.07
95.91,150.73
103.92,177.23
111.93,208.48
119.91,223.83
127.95,229.86
135.69,224.01
143.74,221.45
151.71,198.98
159.84,160.6
167.95,99.38
176.07,25
