x,y
-0.01,9.65
8.05,-10.82
16.13,-42.98
24.09,-46.27
32.2,-33.48

40.05,-16.67
47.91,-3.14
55.91,30.48
63.9,78
71.86,115.28
79.82,159.5
87.83,182.16
95.74,223.46
103.75,255.63
111.74,303.87
119.76,325.44
127.79,338.6
135.49,333.48
143.52,340.06
151.57,333.48
159.66,287.79
167.82,175.22
175.96,88.23
