x,y
0.17,1.61
8.04,-0.22
15.92,-8.99
24.22,-9.36
32,-6.43
40.03,5.26
47.8,10.38
55.75,19.52
63.77,40.72
71.88,60.82
79.98,82.02
87.75,94.81
95.86,109.06
103.8,125.51
111.82,149.27
119.94,156.58
127.98,157.31
135.68,150
143.83,136.11
151.71,119.3
159.86,97
168.03,57.89
176.03,18.79
