x,y
-0.09,6.36
7.88,-8.63
15.77,-37.5
23.81,-35.67
32.02,-25.44
39.87,-12.28
47.73,0.51
55.74,26.83
63.83,62.65
71.75,99.56
79.76,132.09
87.68,158.04
95.61,188.38
103.62,213.6
111.62,258.55
119.64,278.29
127.67,286.33
135.54,281.94
143.32,288.16
151.46,271.71
159.72,229.31
167.78,135.38
175.85,58.46
