x,y
-0.09,3.44
8.04,0.51
15.93,-17.4
23.97,-16.67
31.74,-12.65
40.03,3.07
47.72,7.46
55.83,22.44
64.11,52.41
71.95,71.78
79.79,96.27
87.9,116.01
95.84,135.01
103.95,151.46
111.96,182.16
119.9,194.23
128.02,200.8
135.81,191.3
143.77,192.76
151.75,163.52
159.83,132.46
167.92,82.75
176.02,29.75
